species,drug,model,n_folds,cv_scheme,auroc_mean,auroc_std,auroc_ci95,mcc_mean,bacc_mean
Enterococcus faecium,vancomycin,EN,2,GroupKFold(2),0.7082,0.0957,"[0.6125, 0.8039]",0.2529,0.6168
Enterococcus faecium,vancomycin,LGB,2,GroupKFold(2),0.5539,0.0539,"[0.5000, 0.6078]",0.1078,0.5539
Escherichia coli,ampicillin,EN,5,GroupKFold(5),0.9063,0.1091,"[0.7951, 0.9800]",0.6234,0.8708
Escherichia coli,ampicillin,LGB,5,GroupKFold(5),0.9006,0.0962,"[0.8042, 0.9656]",0.6957,0.8458
Neisseria gonorrhoeae,ciprofloxacin,EN,5,GroupKFold(5),0.9886,0.0097,"[0.9787, 0.9960]",0.9705,0.9852
Neisseria gonorrhoeae,ciprofloxacin,LGB,5,GroupKFold(5),0.987,0.0093,"[0.9777, 0.9945]",0.9693,0.9847
Salmonella enterica,ampicillin,EN,5,GroupKFold(5),0.9676,0.0326,"[0.9370, 0.9946]",0.9095,0.9498
Salmonella enterica,ampicillin,LGB,5,GroupKFold(5),0.9678,0.0332,"[0.9356, 0.9945]",0.9199,0.9522
Salmonella enterica,tetracycline,EN,5,GroupKFold(5),0.9787,0.0212,"[0.9603, 0.9970]",0.947,0.9686
Salmonella enterica,tetracycline,LGB,5,GroupKFold(5),0.9788,0.0209,"[0.9607, 0.9970]",0.9493,0.9694
Staphylococcus aureus,methicillin,EN,5,StratifiedKFold(5)-fallback,0.9966,0.0028,"[0.9940, 0.9990]",0.9358,0.9849
Staphylococcus aureus,methicillin,LGB,5,StratifiedKFold(5)-fallback,0.9938,0.0062,"[0.9873, 0.9981]",0.9299,0.973
